タイムスタンプ,本調査の趣旨を理解し，同意いただける場合は「同意する」を選択してください．,年齢,性別,スプーンで料理を食べるときに使う手,視力,実験の最後に表示される4文字の英数字を入力してください．,VRの総利用時間,
2024/08/27 15:31:13,同意します,23,男性,右,矯正（メガネ・コンタクト）して0.7以上,323,10,
2024/08/27 15:52:05,同意します,21,男性,右,矯正（メガネ・コンタクト）して0.7以上,863,0,
2024/08/27 16:33:41,同意します,20,男性,左,裸眼で0.7以上,485,0,
2024/08/27 16:58:40,同意します,20,女性,右,0.7未満,453,0,
2024/08/27 18:16:04,同意します,21,男性,右,裸眼で0.7以上,871,0,
2024/08/27 18:27:29,同意します,22,男性,右,矯正（メガネ・コンタクト）して0.7以上,584,0,
2024/08/27 18:36:40,同意します,23,女性,右,矯正（メガネ・コンタクト）して0.7以上,790,0,
2024/08/27 18:49:05,同意します,21,男性,右,裸眼で0.7以上,145,0,
2024/08/27 19:03:18,同意します,21,男性,右,0.7未満,341,3,
2024/08/27 19:13:31,同意します,19,男性,右,0.7未満,865,100,
2024/08/27 19:28:09,同意します,19,男性,右,裸眼で0.7以上,481,0,
2024/08/27 19:40:44,同意します,19,男性,右,矯正（メガネ・コンタクト）して0.7以上,379,0,
2024/08/27 21:27:04,同意します,19,男性,右,矯正（メガネ・コンタクト）して0.7以上,119,0,
2024/08/28 14:17:08,同意します,18,男性,右,矯正（メガネ・コンタクト）して0.7以上,630,0,
2024/08/28 14:02:02,同意します,20,女性,右,矯正（メガネ・コンタクト）して0.7以上,120,0,
2024/08/28 14:26:48,同意します,19,男性,右,矯正（メガネ・コンタクト）して0.7以上,574,0,
2024/08/28 14:54:26,同意します,19,女性,右,裸眼で0.7以上,739,0,
2024/08/28 15:02:58,同意します,19,女性,右,矯正（メガネ・コンタクト）して0.7以上,583,0,
2024/08/28 15:25:09,同意します,23,男性,右,裸眼で0.7以上,680,0,
2024/08/28 15:58:32,同意します,18,男性,左,矯正（メガネ・コンタクト）して0.7以上,314,0,
2024/08/28 16:20:15,同意します,22,女性,右,矯正（メガネ・コンタクト）して0.7以上,953,0,